Microrregião;2411300;2412100;2421100;2422901;2422902;2423701;2423702;2424501;2424502;2431800;2439300;2441501;2441502;2442300;2443100;2449101;2449102;2449103;2449199;2451200;2452100;2511000;2512800;2513600;2521700;2522500;2531401;2531402;2532201;2532202;2539000;2539001;2539002;2541100;2542000;2543800;2550101;2550102;2591800;2592601;2592602;2593400;2599301;2599302;2599399;2759701;2759799;2811900;2812700;2813500;2814301;2814302;2815101;2815102;2821601;2821602;2822401;2822402;2823200;2824101;2824102;2825900;2829101;2829199;2831300;2832100;2833000;2840200;2851800;2852600;2853400;2854200;2861500;2862300;2863100;2864000;2865800;2866600;2869100;2910701;2910702;2910703;2920401;2920402;2930101;2930102;2930103;2941700;2942500;2943300;2944100;2945000;2949201;2949299;2950600;3011301;3011302;3012100;3031800;3032600;3041500;3042300;3091100;3091101;3091102;3092000;3099700;3311200;3312101;3312102;3312103;3312104;3313901;3313902;3313999;3314701;3314702;3314703;3314704;3314705;3314706;3314707;3314708;3314709;3314710;3314711;3314712;3314713;3314714;3314715;3314716;3314717;3314718;3314719;3314720;3314721;3314722;3314799;3315500;3316301;3316302;3317101;3317102;3319800;3321000;3329501;3329599;4614100;4661300;4662100;4663000;4664800;4665600;4669901;4669999;4672900;7112000;7120100;7731400;7732201;7732202;7733100;7739001;7739002;7739003;7739099
13007;0;0;0;0;0;0;1;4;90;61;3;205;0;0;126;0;0;0;169;10;558;1736;190;0;13;1;6;7;2368;0;0;65;10;1835;33;44;0;0;242;12;0;62;8;0;1040;2070;12;148;6;0;0;0;0;152;56;0;9;13;365;371;2235;44;49;785;0;0;0;30;0;0;0;0;0;0;0;0;0;0;510;128;0;0;0;0;54;0;54;592;545;750;0;1513;0;1411;60;433;1224;161;2;0;0;0;0;11300;1515;774;1663;17;0;66;5;7;90;0;50;163;40;0;0;0;0;197;23;0;76;0;9;37;0;0;6;12;0;0;0;0;0;25;0;0;0;571;8;226;352;73;14;48;18;156;107;9;85;18;357;183;982;242;0;217;72;307;0;1;28;494
13008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;838;0;0;230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0
23016;15;13;86;5;0;0;391;15;0;2805;0;142;56;0;2;3;0;6;71;204;108;1194;1460;47;104;42;0;7;4002;3;0;286;15;0;218;33;0;0;562;397;92;409;132;72;157;7;516;0;86;333;0;0;0;0;0;54;79;23;267;0;0;10;4;327;0;64;396;126;28;9;0;22;6;62;5;6;0;4;318;18;0;0;0;0;436;15;153;0;0;580;6;0;34;42;277;460;87;3;0;0;0;0;0;17;0;188;46;183;0;24;59;6;194;1;456;18;67;1;15;9;23;299;353;57;88;3;4;86;0;0;0;41;21;10;29;0;0;71;133;0;0;3;0;59;446;322;36;55;74;945;270;113;102;99;314;883;4628;152;25;1635;267;362;0;20;280;458
26013;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;5;7;0;372;37;155;0;0;0;0;1;0;0;10;0;0;51;0;0;0;0;0;1;28;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;72;0;0;0;0;0;10;1;0;0;0;0;10;0;0;0;0;0;142;0;10;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;5;0;0;0;14;0;2;7;0;0;0;34;193;0;148;23;0;0;0;0;35;1
26017;0;0;0;31;0;0;0;0;919;8;52;280;5;0;3;0;0;1;34;134;1;764;1488;37;123;13;0;0;163;0;0;133;48;31;554;60;0;0;536;51;81;101;47;3;563;3;213;3;13;22;0;0;1;10;11;10;192;168;970;0;13;8;0;881;3;6;53;130;0;0;0;25;119;13;0;11;0;3;284;1061;0;0;20;0;372;0;141;4;24;0;54;0;0;9;142;0;70;247;9;0;3;0;0;0;0;129;50;38;0;95;203;50;219;0;32;13;83;44;49;3;7;111;60;38;186;3;4;25;125;0;7;3;5;35;31;0;0;18;45;0;0;15;3;83;162;355;69;113;319;222;873;264;186;74;418;948;9989;876;81;2026;14;973;6;38;352;878
26018;0;0;0;97;0;0;0;0;0;74;8;0;0;0;0;0;0;0;0;0;0;676;1;20;168;0;0;0;0;0;0;645;0;0;9;9;0;0;401;0;0;0;51;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;185;0;25;0;0;0;0;0;0;54;446;0;0;0;0;1465;0;0;0;0;0;48;0;22;0;0;0;0;0;0;0;3;10684;0;0;0;0;0;0;0;0;1;0;0;246;0;246;0;0;0;0;0;62;1;0;0;14;0;12;0;0;19;0;0;31;0;0;0;0;1;0;0;0;0;39;0;0;0;0;0;19;206;14;0;0;1;1;10;0;0;0;0;20;6019;3;0;237;144;0;2;0;0;69
29021;0;400;0;91;0;0;639;35;0;9;0;160;2;8;879;0;0;2;87;41;37;947;970;433;169;0;62;7;21;0;0;1407;8;0;1079;65;0;0;281;143;25;152;56;0;349;30;2499;43;97;118;0;0;0;20;0;0;152;8;59;15;5;0;0;241;0;0;64;14;204;21;0;0;0;0;0;0;0;41;102;4395;0;0;0;0;119;0;217;321;0;114;2;57;461;2775;235;82;234;33;0;0;0;0;0;0;53;0;0;281;0;147;112;0;466;0;240;17;100;116;21;69;3;157;257;43;1909;0;0;36;18;0;9;4;80;19;10;0;2;438;19;0;0;628;26;263;159;284;311;130;76;135;318;65;130;71;203;529;12866;599;166;2545;672;540;46;29;428;1635
31009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1699;0;17;0;3;0;0;0;0;0;0;0;0;1;0;0;73;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7;7;0;0;0;0;14;1
31027;3184;0;94;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;148;350;66;461;60;328;162;0;456;0;21;0;0;144;27;6;51;25;0;0;0;1;19;28;25;0;166;3;0;0;0;0;0;0;0;17;12;0;0;0;3;0;0;0;0;55;0;0;35;5;0;0;0;0;131;0;0;0;0;0;0;0;0;0;0;0;103;0;45;2153;0;0;9;131;77;2434;120;0;0;0;130;0;0;0;0;0;0;20;30;50;0;0;0;0;52;0;42;3;3;0;4;3;15;16;0;13;0;44;2;0;0;0;1;0;2;0;3;0;0;10;0;0;0;0;0;14;29;21;0;2;11;2;9;7;0;0;0;0;271;50;13;287;497;28;0;0;18;315
